Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);Я чувствую, что мы с коллегами делаем одно дело (Шкала);Я испытываю уважение к своим коллегам (Шкала);Я думаю, что есть коллеги, без которых компания могла бы легко обойтись (Шкала);У нас в компании есть своя культура и я чувствую себя её частью (Шкала);Мне важно мнение моих коллег о моей работе (не только моего руководителя) (Шкала);Я радуюсь, когда вижу людей из моей организации вне работы (Шкала);Я думаю, что моих коллег, в целом, легко мог заменить кто-то другой (Шкала);Другие люди говорят, что моя работа важна (Шкала);Я знаю, как моя работа влияет на мир, и мне нравится это влияние (Шкала);Мне говорят, что моя работа полезна (Шкала);Я думаю, что мир не станет хуже, если я буду плохо делать свою работу (Шкала);Я чувствую, что от моей работы много зависит (Шкала);Я думаю, что большая часть профессий важнее моей (Шкала);Я чувствую, что моя работа важна для общества (Шкала);Я хожу на выставки/конференции по теме моей работы в свободное время (Шкала);В свободное время я читаю профильную литературу (Шкала);Я делюсь интересными “трюками”, которые я придумал в своей работе (Шкала);Мои рабочие инструменты просты в обращении и не требуют развития навыков (Шкала);Я знаю, почему я использую для работы те, а не иные инструменты/техники/приёмы/программы (Шкала);Разные инструменты/техники/приёмы/программы, которые я использую в работе, не влияют на её эффективность, качество и скорость (Шкала);В моей работе применима пословица: “Хочешь сделать работу — сначала наточи инструменты” (хорошие средства труда важны в моей работе) (Шкала);Я чувствую, что без необходимости ходить на работу, я был бы в разы счастливее (Шкала);Я начинаю скучать по работе во время долгих праздников и отпуска (Шкала);Я чувствую сильное напряжение, если мне приходиться задерживаться после работы (Шкала);Я ложусь спать с приятным предвкушением завтрашних рабочих задач (Шкала);Я с радостью пользуюсь возможностью рассказать о том, что делаю на работе (Шкала);Я стараюсь не думать о работе в нерабочее время (Шкала);Друзья считают меня “фанатиком своего дела” (Шкала);Работа, которую я выполняю, оплачивается компанией справедливо (Шкала);Уровень моей заработной платы соответствует моим квалификации, знаниям, умениям и навыкам (Шкала);Моя заработная плата соответствует моим усилиям (Шкала);Размер моей заработной платы стимулирует меня к труду (Шкала);В нашей компании созданы благоприятные условия труда (Шкала);У меня есть все, что необходимо мне для работы (Шкала);Я могу рассказать о нашей организации как о хорошем месте работы с неплохими условиями труда (Шкала);Меня не устраивает организация труда в нашей организации (Шкала);Наш руководитель воодушевляет меня на работу с высокой отдачей (Шкала);Меня редко хвалят или благодарят за работу (Шкала);Мой непосредственный руководитель часто не понимает или не хочет понять меня (Шкала);У меня сложились хорошие отношения с людьми, с которыми я работаю (Шкала);Люди, с которыми я работаю, уважают меня (Шкала);Мне нравятся люди, с которыми я вместе работаю (Шкала);То, чем я занимаюсь на моей работе, меня интересует (Шкала);За последнее время я добился(ась) успехов на своей работе (Шкала);В работе меня прежде всего привлекает возможность узнавать что-то новое (Шкала);С каждым месяцем я ощущаю, как растут мои профессиональные знания (Шкала);Процесс работы доставляет мне удовольствие (Шкала);Специалист, который не может дать четкий ответ, возможно, не слишком много знает (Шкала);Хорошая работа – это та, на которой всегда ясно, что и как это нужно делать (Шкала);В долговременной перспективе добиться большего возможно, решая маленькие и простые проблемы, чем большие и сложные (Шкала);Привычное всегда предпочтительнее незнакомого (Шкала);Человек, который ведет ровную, размеренную жизнь (без особых сюрпризов и неожиданностей), на самом деле должен быть благодарен судьбе (Шкала);Я больше люблю вечеринки со знакомыми людьми, чем те, где большинство людей мне совершенно незнакомы (Шкала);Чем скорее мы придем к единым ценностям и идеалам, тем лучше (Шкала);Люди, которые подчинили свою жизнь расписанию, наверное, лишают себя большинства радостей жизни (Шкала);Интереснее заниматься сложной проблемой, чем решать простую (Шкала);Часто наиболее интересные и заводящие других люди – это те, кто не боится быть оригинальным и непохожим на других (Шкала);Люди, которые настаивают на ответе либо «да», либо «нет», просто не знают, насколько все на самом деле сложно (Шкала);Многие из наиболее важных решений основаны на неполной информации (Шкала);Хороший учитель – это тот, кто заставляет тебя размышлять о твоем взгляде на жизнь (Шкала);В основном моя жизнь близка к идеалу (Шкала);Обстоятельства моей жизни исключительно благоприятны (Шкала);Я полностью удовлетворен моей жизнью (Шкала);У меня есть в жизни то, что мне по настоящему нужно (Шкала);Если бы мне пришлось жить еще раз, я бы оставил все как есть (Шкала);Я понимаю смысл моей жизни (Шкала);В моей жизни есть четкое понимание цели (Шкала);У меня есть четкое понимание того, что наполняет мою жизнь смыслом (Шкала);Я уже нашел удовлетворяющую меня цель жизни (Шкала);У меня нет четкой цели в жизни (Шкала);Я считаю себя тревожным, легко расстраивающимся (Шкала);Я считаю себя спокойным, эмоционально стабильным (Шкала)
Женщина;41;Москва;Высшее;10-15 лет;10-15 лет;"Транспорт;";1000+ человек;старший смены;70;100 000 — 150 000;Нет;Часто;Часто;Практически всегда;Скорее редко;Часто;Часто;Часто;Редко;Иногда;Часто;Иногда;Практически всегда;Иногда;Часто;Редко;Иногда;Редко;Редко;Часто;Часто;Иногда;Часто;Практически никогда;Практически всегда;Практически всегда;Скорее редко;Практически всегда;Иногда;Не согласен;Не согласен;Не согласен;Не согласен;Где-то посередине;Скорее не согласен;Не согласен;Согласен;Не согласен;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Не согласен;Согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Согласен;Скорее не согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Скорее согласен
Женщина;42;Город с численностью жителей миллион и более человек;Высшее;20 + лет;3-5 лет;"Финансы, бухгалтерия, банки;";1000+ человек;Специалист;70;60 000 — 100 000;Нет;Скорее часто;Иногда;Иногда;Редко;Иногда;Скорее часто;Иногда;Скорее редко;Скорее редко;Редко;Скорее редко;Иногда;Скорее часто;Скорее редко;Практически никогда;Практически никогда;Иногда;Часто;Иногда;Скорее часто;Скорее редко;Скорее редко;Редко;Иногда;Практически никогда;Скорее редко;Часто;Редко;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее не согласен;Согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Не согласен;Скорее согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Согласен;Скорее согласен;Скорее согласен
Мужчина;48;Город с численностью жителей миллион и более человек;Высшее;20 + лет;20 + лет;"Транспорт;";1000+ человек;инженер;80;100 000 — 150 000;Нет;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Практически никогда;Скорее редко;Редко;Иногда;Скорее редко;Иногда;Редко;Скорее часто;Скорее редко;Практически никогда;Скорее редко;Скорее редко;Скорее часто;Практически никогда;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее согласен;Не согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее согласен;Скорее согласен;Нечто среднее
Женщина;40;Город с численностью от 500 тысяч до 950 тысяч;Высшее;15-20 лет;5-10 лет;"Финансы, бухгалтерия, банки;";1000+ человек;Главный специалист;83;60 000 — 100 000;Затрудняюсь ответить;Скорее часто;Часто;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее редко;Иногда;Скорее редко;Иногда;Иногда;Иногда;Практически никогда;Редко;Скорее часто;Редко;Скорее часто;Часто;Часто;Часто;Практически никогда;Скорее часто;Редко;Скорее редко;Часто;Скорее редко;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Согласен;Скорее согласен;Согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен, чем согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Затрудняюсь ответить;Согласен;Не согласен;Нечто среднее;Не согласен;Скорее согласен;Скорее не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Согласен;Согласен;Скорее не согласен
Женщина;30;Город с численностью жителей миллион и более человек;Два и более высших и/или научная степень;5-10 лет;3-5 лет;"Обслуживание;";До 1000 человек;ведущий специалист;70;30 000 — 60 000;Да;Скорее часто;Скорее часто;Редко;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Часто;Часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Редко;Скорее редко;Иногда;Иногда;Скорее часто;Редко;Часто;Иногда;Практически никогда;Иногда;Редко;Иногда;Практически никогда;Иногда;Скорее не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Нечто среднее;Нечто среднее;Нечто среднее;Согласен;Скорее не согласен;Скорее согласен;Нечто среднее;Полностью согласен;Нечто среднее;Нечто среднее;Скорее согласен;Нечто среднее
Женщина;36;Город с численностью от 500 тысяч до 950 тысяч;Неоконченное высшее;10-15 лет;1-3 года;"Торговля;";До 1000 человек;менеджер по логистики;50000;30 000 — 60 000;Затрудняюсь ответить;Скорее часто;Скорее часто;Часто;Иногда;Скорее часто;Скорее редко;Скорее часто;Иногда;Редко;Иногда;Скорее часто;Скорее часто;Скорее часто;Скорее редко;Редко;Редко;Скорее часто;Скорее редко;Скорее часто;Скорее редко;Иногда;Скорее часто;Скорее редко;Иногда;Редко;Иногда;Скорее редко;Скорее редко;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее не согласен;Нечто среднее;Нечто среднее;Скорее согласен;Нечто среднее
Женщина;40;Город с численностью от 50 тысяч до 100 тысяч;Высшее;20 + лет;15-20 лет;"Образование;";До 50 человек;учитель;50;15 000 — 30 000;Затрудняюсь ответить;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Скорее редко;Практически всегда;Скорее часто;Практически всегда;Часто;Иногда;Скорее часто;Иногда;Часто;Редко;Практически всегда;Скорее редко;Часто;Иногда;Скорее часто;Скорее часто;Не согласен;Скорее не согласен;Не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Согласен;Где-то посередине;Согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Согласен;Полностью согласен;Согласен;Полностью согласен;Полностью согласен;Полностью не согласен;Нечто среднее;Скорее не согласен
Мужчина;44;Москва;Высшее;15-20 лет;10-15 лет;"Производство;";До 1000 человек;юрист;80;200 000 — 400 000;Нет;Иногда;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Скорее редко;Скорее редко;Иногда;Скорее редко;Часто;Скорее редко;Скорее часто;Скорее часто;Скорее часто;Часто;Скорее часто;Часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее редко;Часто;Часто;Часто;Редко;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Согласен;Скорее согласен;Скорее согласен;Не согласен;Не согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Скорее согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Согласен;Скорее согласен;Скорее согласен;Нечто среднее;Не согласен;Полностью не согласен;Полностью согласен
Женщина;49;Город с численностью от 100 тысяч до 500 тысяч;Среднее общее (11 классов);20 + лет;1-3 года;"Обслуживание;";До 500 человек;машинист;100;15 000 — 30 000;Затрудняюсь ответить;Скорее редко;Иногда;Иногда;Скорее редко;Скорее редко;Практически никогда;Иногда;Иногда;Иногда;Иногда;Практически никогда;Скорее часто;Иногда;Скорее часто;Практически никогда;Иногда;Редко;Иногда;Иногда;Редко;Практически никогда;Часто;Практически никогда;Часто;Практически никогда;Практически никогда;Редко;Практически никогда;Не согласен;Скорее не согласен;Не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Не согласен;Скорее не согласен;Скорее не согласен;Не согласен;Нечто среднее;Согласен;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее;Скорее согласен;Скорее не согласен
Женщина;43;Город с численностью жителей миллион и более человек;Высшее;15-20 лет;15-20 лет;МВД;До 500 человек;инспектор-кинолог;90;30 000 — 60 000;Нет;Скорее часто;Иногда;Скорее часто;Иногда;Скорее часто;Скорее редко;Часто;Скорее часто;Скорее часто;Скорее часто;Редко;Иногда;Скорее редко;Скорее часто;Иногда;Иногда;Редко;Редко;Иногда;Скорее редко;Часто;Часто;Скорее редко;Часто;Скорее редко;Иногда;Часто;Скорее редко;Не согласен;Не согласен;Не согласен;Не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Согласен;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Не согласен;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Нечто среднее;Скорее согласен;Нечто среднее;Согласен;Нечто среднее;Согласен;Согласен;Согласен;Скорее согласен;Полностью не согласен;Нечто среднее;Нечто среднее
Женщина;31;Город с численностью от 100 тысяч до 500 тысяч;Высшее;3-5 лет;1-3 года;театр;До 500 человек;ассистент режиссера;80;30 000 — 60 000;Нет;Скорее часто;Иногда;Практически всегда;Иногда;Часто;Часто;Иногда;Часто;Практически всегда;Часто;Редко;Часто;Практически никогда;Часто;Скорее часто;Скорее редко;Скорее часто;Скорее редко;Часто;Редко;Часто;Скорее редко;Иногда;Скорее часто;Иногда;Практически всегда;Редко;Иногда;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Согласен;Скорее не согласен;Скорее согласен;Не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Категорически не согласен;Затрудняюсь ответить;Не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Не согласен;Не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Затрудняюсь ответить;Согласен;Согласен;Скорее согласен;Согласен;Полностью согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Согласен;Скорее не согласен;Скорее не согласен;Полностью согласен;Не согласен
Мужчина;43;Город с численностью от 100 тысяч до 500 тысяч;Среднее общее (11 классов);10-15 лет;5-10 лет;строительство;До 50 человек;рабочий;100;30 000 — 60 000;Нет;Практически всегда;Часто;Скорее редко;Практически всегда;Иногда;Редко;Часто;Иногда;Практически всегда;Практически всегда;Редко;Практически всегда;Часто;Практически всегда;Редко;Практически никогда;Скорее редко;Практически всегда;Практически всегда;Редко;Редко;Практически никогда;Часто;Иногда;Часто;Скорее редко;Скорее редко;Иногда;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Скорее не согласен;Согласен;Скорее не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Где-то посередине;Согласен;Согласен;Согласен;Согласен;Не согласен;Не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Абсолютно согласен;Абсолютно согласен;Не согласен;Согласен;Не согласен;Нечто среднее;Не согласен;Не согласен;Полностью не согласен;Нечто среднее;Согласен;Нечто среднее;Не согласен;Нечто среднее;Не согласен;Согласен
Мужчина;40;Город с численностью менее 50 тысяч;Высшее;10-15 лет;3-5 лет;"Обслуживание;";До 500 человек;Начальник;70;15 000 — 30 000;Да;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Где-то посередине;Не согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Согласен;Согласен;Где-то посередине;Где-то посередине;Согласен;Согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Согласен;Согласен;Абсолютно согласен;Согласен;Согласен;Согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее
Мужчина;40;Город с численностью жителей миллион и более человек;Высшее;10-15 лет;10-15 лет;НКО;До 500 человек;менеджер;100;100 000 — 150 000;Нет;Скорее часто;Иногда;Практически всегда;Скорее часто;Иногда;Скорее редко;Практически всегда;Редко;Редко;Скорее редко;Иногда;Скорее редко;Практически всегда;Иногда;Практически никогда;Практически всегда;Редко;Часто;Иногда;Иногда;Редко;Часто;Практически никогда;Редко;Практически никогда;Практически никогда;Иногда;Редко;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее не согласен;Где-то посередине;Не согласен;Согласен;Согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее не согласен;Не согласен;Не согласен;Где-то посередине;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Скорее не согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее согласен;Согласен;Скорее не согласен
Женщина;44;Москва;Высшее;20 + лет;3-5 лет;"Обслуживание;";До 500 человек;специалист;80;60 000 — 100 000;Нет;Иногда;Иногда;Иногда;Иногда;Скорее часто;Скорее редко;Скорее редко;Скорее часто;Иногда;Иногда;Редко;Иногда;Редко;Иногда;Редко;Практически никогда;Скорее редко;Иногда;Часто;Иногда;Скорее часто;Скорее редко;Практически никогда;Часто;Практически никогда;Скорее редко;Практически всегда;Скорее редко;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Не согласен;Скорее согласен, чем не согласен;Нечто среднее;Не согласен;Нечто среднее;Согласен;Нечто среднее;Согласен;Согласен;Полностью согласен;Полностью согласен;Не согласен;Скорее согласен;Скорее не согласен
Женщина;44;Город с численностью от 100 тысяч до 500 тысяч;Высшее;20 + лет;5-10 лет;государственные услуги;1000+ человек;ведущий специалист;70;30 000 — 60 000;Нет;Практически всегда;Часто;Иногда;Часто;Часто;Практически всегда;Скорее редко;Часто;Скорее часто;Скорее часто;Практически никогда;Часто;Скорее редко;Часто;Редко;Редко;Практически всегда;Редко;Часто;Практически никогда;Практически всегда;Иногда;Скорее часто;Редко;Скорее редко;Часто;Часто;Иногда;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее не согласен;Согласен;Согласен;Согласен;Согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Не согласен;Согласен;Согласен;Не согласен;Согласен;Затрудняюсь ответить;Согласен;Согласен;Затрудняюсь ответить;Согласен;Согласен;Затрудняюсь ответить;Согласен;Не согласен;Нечто среднее;Нечто среднее;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Согласен;Не согласен;Нечто среднее;Согласен
Мужчина;31;Город с численностью от 500 тысяч до 950 тысяч;Основное общее (9 классов);0-1 года;0-1 года;"Обслуживание;";До 50 человек;безработный;0;0 — 15 000;Да;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Не согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен;Не согласен;Скорее не согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Не согласен;Согласен;Нечто среднее
Женщина;47;Город с численностью от 100 тысяч до 500 тысяч;Высшее;15-20 лет;5-10 лет;"Производство;";До 50 человек;менеджер консультант;50;30 000 — 60 000;Нет;Часто;Часто;Редко;Редко;Иногда;Иногда;Редко;Часто;Иногда;Часто;Скорее редко;Иногда;Иногда;Скорее часто;Скорее редко;Иногда;Иногда;Скорее редко;Скорее часто;Иногда;Скорее часто;Часто;Редко;Часто;Редко;Скорее часто;Скорее часто;Скорее редко;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Скорее не согласен
