dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,klim1,klim2,klim3,klim4,klim5,klim6,klim7,klim8,klim9,klim10,klim11,klim12,klim13,klim14,klim15,klim16,klim17,klim18,klim19,klim20,klim21,klim22,klim23,klim24,klim25,klim26,klim27,klim28,job_sat1,job_sat2,job_sat3,job_sat4,job_sat5,job_sat6,job_sat7,job_sat8,job_sat9,job_sat10,job_sat11,job_sat12,job_sat13,job_sat14,job_sat15,job_sat16,job_sat17,job_sat18,job_sat19,tol_intol1,tol_intol2,tol_intol3,tol_intol4,tol_intol5,tol_intol6,tol_intol7,tol_intol8,tol_intol9,tol_intol10,tol_intol11,tol_intol12,tol_intol13,life_sat1,life_sat2,life_sat3,life_sat4,life_sat5,purp1,purp2,purp3,purp4,purp5,neuro1,neuro2,klim_sum_1,klim_sum_2,klim_sum_3,klim_sum_4,job_sat_sum_1,job_sat_sum_2,job_sat_sum_3,job_sat_sum_4,job_sat_sum_5,tol_intol_sum_1,tol_intol_sum_2,life_sat_sum_1,purp_sum_1,neuro_sum_1
Женщина,37,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,3-5 лет,Торговля;,До 1000 человек,менеджер,40000,30 000 — 60 000,Да,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,3,3,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,3,31,30,29,25,14,15,11,12,17,33,28,23,25,8
Мужчина,53,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,10-15 лет,недвижимость,До 50 человек,юрист,25,30 000 — 60 000,Затрудняюсь ответить,6,5,5,6,4,4,6,6,6,6,6,5,5,6,4,4,4,2,6,5,6,6,3,5,4,2,4,4,4,2,2,4,5,5,5,5,4,4,4,5,5,5,5,4,4,4,5,2,2,4,2,2,2,6,5,6,5,2,6,6,6,5,5,6,6,6,6,4,2,6,2,6,36,40,31,28,12,20,12,15,22,20,30,28,24,8
Женщина,48,Москва,Высшее,20 + лет,20 + лет,наука,До 500 человек,старший научный сотрудник,40,60 000 — 100 000,Нет,2,4,1,1,1,2,2,1,4,4,2,4,6,3,2,2,3,6,7,6,5,4,1,3,3,3,2,5,1,1,1,3,1,2,2,1,3,1,1,3,2,2,3,1,5,1,3,2,2,5,3,5,6,6,2,2,2,7,4,6,2,4,4,3,2,6,6,6,6,6,4,4,13,24,31,21,6,6,5,7,13,29,23,15,30,8
Женщина,33,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),10-15 лет,5-10 лет,Красота и здоровье;,До 50 человек,Мастер,30000,30 000 — 60 000,Нет,7,7,3,7,7,5,4,6,7,6,2,6,1,5,7,7,6,1,7,1,6,1,4,1,4,7,1,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,4,5,6,3,6,6,7,7,7,4,4,6,6,6,3,6,6,6,6,5,5,6,5,4,40,33,35,23,19,20,13,15,25,33,35,27,28,9
Женщина,47,Город с численностью жителей миллион и более человек,Высшее,20 + лет,0-1 года,Юриспруденция;,1000+ человек,начальник юридического отдела,50,100 000 — 150 000,Нет,6,6,2,6,5,6,4,6,6,6,7,5,6,6,3,4,6,6,5,7,6,4,6,4,6,6,4,6,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,4,2,6,4,2,5,4,4,6,4,4,4,4,4,6,6,5,5,7,4,3,35,42,37,36,16,14,12,12,20,23,25,20,29,7
Женщина,28,Москва,Неоконченное высшее,1-3 года,3-5 лет,Торговля;,До 500 человек,менеджер по продажам,80,30 000 — 60 000,Да,3,5,4,6,6,2,2,7,5,6,6,7,2,7,6,2,6,6,7,7,6,3,1,1,4,5,1,6,1,1,1,2,3,3,1,1,1,5,3,5,5,1,5,4,5,5,4,7,2,1,2,3,1,5,3,6,7,1,2,6,4,4,3,6,6,6,7,7,7,7,4,2,28,40,40,21,5,8,9,11,23,21,25,23,34,6
Мужчина,44,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,5-10 лет,Производство;,До 1000 человек,директор по развитию,50,150 000 — 200 000,Затрудняюсь ответить,4,4,4,4,4,4,4,6,6,6,6,4,4,3,6,4,4,4,6,4,5,4,4,4,4,4,5,5,3,3,2,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,5,5,4,5,2,6,4,5,5,6,6,6,4,5,5,6,5,5,6,6,5,6,3,4,28,35,33,30,11,15,10,12,20,30,32,25,28,7
Женщина,34,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,5-10 лет,"Финансы, бухгалтерия, банки;",До 500 человек,Руководитель среднего звена,70,60 000 — 100 000,Нет,6,6,4,5,6,6,4,6,6,6,5,6,2,6,4,3,5,3,6,2,5,3,3,4,3,4,2,4,3,2,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,5,5,5,5,5,5,6,5,5,5,6,6,3,4,5,5,3,5,5,5,5,3,5,3,37,37,28,23,11,16,10,12,19,33,33,20,23,8
Женщина,47,Москва,Высшее,20 + лет,1-3 года,культура и искусство,До 500 человек,менеджер по продажам,90,60 000 — 100 000,Да,6,6,2,6,4,6,5,5,5,5,7,7,4,5,5,4,3,6,7,5,6,2,1,4,4,7,5,6,2,3,1,2,3,2,4,1,4,3,5,4,3,3,5,3,3,4,3,5,4,2,5,2,2,4,7,5,7,4,4,7,1,5,2,6,2,4,3,6,3,2,3,4,35,38,36,29,8,10,12,10,18,24,34,16,18,7
Женщина,40,Москва,Высшее,15-20 лет,10-15 лет,"Продажи, закупки;",1000+ человек,Менеджер,100,100 000 — 150 000,Затрудняюсь ответить,5,5,2,5,5,3,6,3,1,2,4,3,2,3,1,3,3,6,2,6,4,5,5,5,3,3,3,3,4,4,4,4,5,4,5,4,2,3,3,5,4,4,4,4,4,4,4,3,5,3,5,3,3,3,5,5,3,3,5,3,3,3,3,3,3,5,5,5,4,4,4,4,31,18,25,27,16,18,8,13,20,25,24,15,23,8
Женщина,42,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,5-10 лет,экспертиза,До 50 человек,начальник отдела экспертизы,30,30 000 — 60 000,Затрудняюсь ответить,5,6,4,6,6,2,5,4,5,3,7,6,5,5,3,2,4,6,7,5,3,2,1,2,1,6,1,4,2,3,2,1,4,3,4,3,1,3,4,4,4,3,3,4,3,3,3,7,7,4,6,4,7,5,5,6,6,7,4,4,3,4,5,5,5,5,4,6,4,5,7,1,34,35,30,17,8,14,8,11,16,40,32,22,24,8
Женщина,26,Город с численностью жителей миллион и более человек,Высшее,1-3 года,0-1 года,Образование;,До 50 человек,заместитель директора,100,30 000 — 60 000,Нет,5,5,7,3,5,6,6,5,3,4,3,4,4,4,4,2,7,6,5,3,5,4,5,1,2,4,4,6,2,2,2,2,3,3,3,3,5,5,5,5,5,4,4,5,5,5,3,5,2,2,3,5,6,2,3,7,4,6,6,7,4,4,3,5,3,4,3,4,3,2,7,6,37,27,32,26,8,12,15,14,22,25,33,19,16,13
Женщина,39,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,1-3 года,Торговля;,До 50 человек,директор по развитию,50,60 000 — 100 000,Нет,6,7,2,5,6,6,4,4,4,4,6,5,1,4,4,1,6,3,7,5,4,4,3,4,4,4,1,3,4,4,5,5,5,5,5,5,5,3,2,5,4,5,3,4,3,3,3,5,5,3,5,4,2,6,6,5,7,6,3,6,5,4,5,7,3,4,2,6,2,1,5,4,36,28,30,23,18,20,10,14,16,30,33,24,15,9
Мужчина,45,Москва,Неоконченное высшее,20 + лет,0-1 года,"Финансы, бухгалтерия, банки;",1000+ человек,Руководитель направления,100,100 000 — 150 000,Нет,4,7,1,4,4,5,2,1,1,4,5,5,1,4,1,1,4,4,7,4,4,1,1,3,2,4,2,5,2,3,3,2,2,5,2,3,4,2,1,4,4,5,1,4,1,1,2,7,7,7,7,7,7,7,7,4,7,7,7,6,3,3,3,3,1,4,4,6,6,4,5,4,27,21,25,18,10,12,7,13,9,49,38,13,24,9
Мужчина,55,Москва,Высшее,20 + лет,1-3 года,Обслуживание;,До 50 человек,Специалист,100,15 000 — 30 000,Затрудняюсь ответить,4,4,1,1,4,4,2,1,1,4,1,4,4,4,1,4,5,6,6,6,5,1,1,4,2,4,1,4,1,1,1,1,3,3,2,1,1,3,3,4,3,3,3,1,4,3,3,2,7,3,4,5,5,1,4,5,3,5,4,7,3,4,4,6,3,5,5,5,4,6,2,2,20,19,33,17,4,9,7,10,14,27,28,20,25,4
Мужчина,54,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,10-15 лет,холодильные установки,До 50 человек,КИПиА,100,30 000 — 60 000,Нет,6,6,4,3,6,6,4,6,6,6,7,7,5,6,4,5,7,6,6,6,7,2,1,6,1,5,3,2,4,3,4,4,4,3,4,3,2,2,3,5,5,4,4,4,3,3,4,3,6,3,5,7,6,6,3,5,6,6,6,6,2,4,3,4,4,4,4,4,4,3,5,4,35,43,41,20,15,14,7,14,18,36,32,17,19,9
Женщина,55,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),10-15 лет,5-10 лет,"Финансы, бухгалтерия, банки;",1000+ человек,менеджер,5,60 000 — 100 000,Нет,7,4,1,7,3,1,1,7,7,6,3,7,1,5,4,1,4,1,7,7,7,1,4,7,1,5,2,4,4,5,4,5,5,5,5,5,3,2,5,5,4,4,3,3,2,3,3,5,7,4,6,7,4,4,3,4,6,4,4,6,5,6,6,1,3,4,5,4,4,3,5,4,24,36,31,24,18,20,10,13,14,37,27,21,20,9
Женщина,32,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,0-1 года,Производство;,1000+ человек,специалист,25000,30 000 — 60 000,Нет,5,4,4,4,4,3,4,1,5,4,7,6,5,6,1,3,6,7,6,5,1,3,1,4,1,5,5,5,2,2,2,2,3,3,3,3,3,3,4,2,2,3,3,3,3,4,3,5,5,5,5,5,7,3,3,3,5,5,4,3,3,4,4,4,2,4,7,6,6,7,4,4,28,34,29,24,8,12,10,7,16,35,23,17,30,8
Мужчина,45,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,20 + лет,0-1 года,"Продажи, закупки;",До 50 человек,аналитик,100,30 000 — 60 000,Нет,7,6,7,6,7,5,7,5,6,5,7,6,7,7,1,5,6,4,6,5,7,5,4,7,3,2,1,3,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,7,6,6,6,6,4,3,5,6,6,7,7,6,6,6,6,5,7,7,6,6,7,2,2,45,43,34,25,20,20,11,15,25,40,34,29,33,4
Мужчина,37,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,3-5 лет,0-1 года,"Маркетинг, реклама, PR;",До 50 человек,оператор,77,0 — 15 000,Да,5,5,6,5,5,4,4,5,3,4,6,3,2,5,1,2,3,4,5,3,3,4,2,4,3,3,4,2,1,2,1,3,4,5,4,3,3,1,2,4,3,4,3,4,4,4,3,6,7,6,6,6,6,7,6,6,6,7,6,7,2,6,3,6,4,4,5,6,7,6,4,4,34,28,21,22,7,16,6,11,18,44,38,21,28,8
Женщина,53,Город с численностью жителей миллион и более человек,Высшее,20 + лет,20 + лет,Образование;,До 500 человек,Учитель,80,100 000 — 150 000,Нет,7,7,6,7,6,6,4,7,6,7,7,7,5,7,5,5,7,7,7,7,7,6,1,4,5,6,3,5,5,3,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,6,3,6,7,5,6,7,7,7,7,4,5,5,5,4,6,6,6,6,6,1,1,43,46,45,30,15,19,15,15,25,34,39,23,30,2
Женщина,45,Город с численностью жителей миллион и более человек,Высшее,20 + лет,3-5 лет,"Финансы, бухгалтерия, банки;",До 1000 человек,бухгалтер,100,60 000 — 100 000,Да,2,5,3,4,4,4,4,4,4,2,6,4,7,1,4,5,2,7,2,5,2,6,1,6,4,7,1,4,2,3,2,4,3,5,3,3,3,4,3,5,5,5,5,5,5,5,5,3,7,3,2,2,2,5,3,6,7,6,2,5,4,7,5,5,2,6,6,6,6,6,2,2,26,28,27,29,11,14,10,15,25,24,29,23,30,4
Женщина,36,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,3-5 лет,Гостиничный бизнес;,До 50 человек,администратор,80,30 000 — 60 000,Затрудняюсь ответить,6,5,2,4,6,1,2,3,3,1,3,4,4,4,3,1,4,3,5,4,4,4,3,5,3,5,3,1,4,1,3,4,5,3,3,1,2,4,2,3,1,3,5,1,3,5,4,4,6,5,6,2,2,5,2,2,2,5,1,1,4,6,5,5,5,6,6,4,6,6,5,3,26,22,24,24,12,12,8,7,18,30,13,25,28,8
Женщина,36,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,5-10 лет,Логистика;,До 1000 человек,специалист,75,60 000 — 100 000,Нет,7,6,1,7,7,6,3,4,3,4,5,5,3,4,2,3,4,4,6,5,6,5,7,5,6,6,5,6,3,3,3,2,5,4,4,4,3,4,4,5,4,4,4,5,4,4,5,7,6,5,3,4,6,4,5,5,6,6,3,5,2,4,5,4,3,4,4,5,3,5,3,5,37,28,30,40,11,17,11,13,22,35,30,18,21,8
Мужчина,51,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,20 + лет,10-15 лет,"Финансы, бухгалтерия, банки;",1000+ человек,специалист,0,150 000 — 200 000,Нет,4,4,5,4,2,3,4,4,4,4,4,4,7,6,5,4,5,5,6,6,4,7,6,6,3,6,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,6,5,4,2,4,5,4,3,6,4,6,7,7,7,7,7,3,1,2,2,1,1,1,26,33,35,34,20,20,15,15,23,29,28,35,9,2
Женщина,40,Город с численностью от 100 тысяч до 500 тысяч,Высшее,3-5 лет,3-5 лет,"Финансы, бухгалтерия, банки;",До 50 человек,главный специалист,100,30 000 — 60 000,Да,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,5,3,3,3,3,5,2,4,3,3,3,5,3,3,2,1,3,3,2,4,4,4,4,4,4,4,3,6,5,6,5,6,5,4,3,2,5,4,4,4,4,4,5,5,3,5,4,5,4,4,4,3,30,28,27,23,14,9,8,12,19,37,22,21,22,7
Женщина,51,Москва,Высшее,15-20 лет,5-10 лет,"Финансы, бухгалтерия, банки;",До 500 человек,бухгалтер,65000,60 000 — 100 000,Нет,7,6,7,6,6,4,6,3,1,2,7,6,4,6,1,1,2,5,6,5,7,3,1,6,4,4,3,2,3,4,4,4,5,4,4,4,4,4,1,5,4,4,4,3,3,4,3,6,5,1,3,2,2,2,5,1,5,3,2,2,2,5,5,2,2,6,7,1,6,6,3,2,42,29,27,23,15,17,9,13,17,21,18,16,26,5
Женщина,36,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,3-5 лет,"Финансы, бухгалтерия, банки;",До 50 человек,Начальник управления,70,100 000 — 150 000,Да,3,3,1,2,3,1,2,3,3,3,6,4,3,4,4,3,2,3,5,4,3,5,2,2,4,4,4,3,2,3,3,2,2,4,3,2,3,2,2,2,1,2,3,2,2,2,3,5,5,4,4,5,4,5,2,3,3,4,4,6,3,3,3,4,1,3,5,4,4,4,4,4,15,26,24,24,10,11,7,5,12,32,22,14,20,8
Женщина,40,Москва,Высшее,15-20 лет,3-5 лет,газораспределение,1000+ человек,ведущий инженер,70,60 000 — 100 000,Да,4,5,5,4,3,1,4,4,2,3,7,3,2,2,1,4,6,4,6,6,4,6,4,2,2,4,3,4,3,3,3,2,5,2,4,2,1,3,4,3,3,4,2,2,3,2,2,6,5,6,2,4,2,4,2,6,6,2,3,4,4,5,5,5,3,5,5,5,5,6,4,4,26,23,31,25,11,13,8,10,11,29,23,22,26,8
Женщина,52,Санкт-Петербург,Высшее,15-20 лет,5-10 лет,Образование;,До 500 человек,заместитель директора по увр,80,60 000 — 100 000,Нет,6,5,5,5,3,4,3,4,4,5,2,5,5,6,4,3,5,3,6,5,3,5,2,4,3,3,2,3,4,3,3,3,4,4,4,4,2,3,4,5,5,5,4,4,2,3,4,3,5,3,6,4,6,2,2,4,6,2,5,6,5,5,6,6,5,5,3,4,5,5,3,2,31,31,29,22,13,16,9,15,17,29,25,27,22,5
Мужчина,52,Город с численностью жителей миллион и более человек,Высшее,20 + лет,20 + лет,IT,До 50 человек,инженер,100,15 000 — 30 000,Нет,4,6,2,2,6,6,4,6,7,6,7,7,5,7,1,7,5,7,7,7,7,7,7,7,6,6,6,6,4,1,3,1,1,4,1,1,1,4,2,5,5,5,5,4,4,5,5,2,6,2,6,7,7,2,2,6,2,7,7,7,6,6,5,6,6,1,6,6,6,6,2,1,30,45,41,45,9,7,7,15,23,32,31,29,25,3
Женщина,44,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,20 + лет,20 + лет,интернет-провайдер,До 50 человек,бухгалтер,80,60 000 — 100 000,Нет,4,5,2,2,1,4,3,2,2,3,6,3,4,2,1,2,3,5,7,5,5,5,2,6,2,3,4,2,3,2,3,2,4,5,4,2,3,1,3,4,3,3,4,3,5,4,2,5,2,2,3,3,4,5,1,6,7,5,2,6,2,3,3,4,2,4,4,4,5,6,6,6,21,22,28,24,10,15,7,10,18,24,27,14,23,12
Женщина,32,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,3-5 лет,Производство;,До 500 человек,Руководитель отдела продаж.,30,100 000 — 150 000,Нет,6,7,6,7,4,4,5,7,4,5,7,7,7,4,4,7,4,5,7,1,1,5,4,6,4,3,4,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,6,5,4,5,5,3,6,2,6,6,4,2,6,4,5,5,6,4,6,6,6,6,6,1,3,39,41,29,31,16,20,14,15,23,34,26,24,30,4
Женщина,36,Город с численностью жителей миллион и более человек,Высшее,5-10 лет,3-5 лет,тратрата,До 50 человек,тратата,50,30 000 — 60 000,Да,5,3,4,5,5,3,3,5,5,5,5,5,5,6,3,5,4,2,6,3,5,5,5,3,5,3,3,1,4,4,4,4,2,4,2,5,1,3,4,1,5,3,2,3,3,4,1,2,2,5,5,3,2,3,4,4,5,4,5,2,5,4,4,7,5,5,3,2,2,4,6,6,28,36,28,25,16,13,8,9,13,22,24,25,16,12
Мужчина,52,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,20 + лет,1-3 года,Транспорт;,До 500 человек,экспедитор,90,30 000 — 60 000,Да,5,6,4,5,6,4,4,5,5,6,5,6,3,5,3,4,4,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,3,4,5,3,4,4,4,5,4,5,5,4,4,4,4,5,6,5,5,6,6,5,6,5,5,5,5,6,2,3,3,3,2,4,4,4,4,5,4,5,34,35,29,29,16,15,12,14,21,38,32,13,21,9
Женщина,34,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,3-5 лет,"Маркетинг, реклама, PR;",До 500 человек,старший контент-менеджер,100,60 000 — 100 000,Затрудняюсь ответить,1,4,1,3,1,1,1,3,1,1,2,1,4,1,4,4,1,4,7,7,1,1,1,3,1,1,3,1,2,2,1,3,3,4,2,3,3,3,4,3,3,2,3,2,5,2,3,7,1,4,5,4,1,4,3,6,1,2,4,4,1,2,1,1,1,1,1,1,1,1,4,6,12,13,28,11,8,12,10,8,15,26,20,6,5,10
Женщина,45,Москва,Высшее,5-10 лет,5-10 лет,Обслуживание;,1000+ человек,а,100,30 000 — 60 000,Нет,5,5,3,5,5,5,4,5,6,5,5,6,5,6,4,4,4,6,6,5,5,4,3,4,4,4,3,3,3,3,2,3,3,3,3,4,3,4,4,4,4,3,4,3,3,4,4,5,6,5,5,5,6,5,3,2,4,5,4,4,4,5,4,6,5,6,6,6,6,6,3,2,32,38,34,25,11,13,11,11,18,37,22,24,30,5
Женщина,49,Санкт-Петербург,Высшее,20 + лет,10-15 лет,Медицина;,До 500 человек,администратор,50,60 000 — 100 000,Затрудняюсь ответить,2,4,2,3,4,4,2,4,3,4,5,4,4,4,1,2,4,5,6,6,5,2,1,3,1,3,2,2,2,2,2,2,2,3,2,2,2,3,3,4,4,3,3,3,3,4,3,5,5,4,5,3,4,4,5,4,5,4,4,5,4,5,5,5,5,5,5,6,4,5,5,3,21,28,29,14,8,9,8,11,16,30,27,24,25,8
Мужчина,44,Санкт-Петербург,Два и более высших и/или научная степень,15-20 лет,5-10 лет,Обслуживание;,До 500 человек,Аналитик,100,60 000 — 100 000,Нет,6,5,4,3,6,4,5,4,6,5,6,5,4,5,6,6,2,4,6,6,3,6,3,6,4,2,5,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4,3,4,5,5,4,5,4,3,4,3,5,2,3,2,6,5,4,6,6,5,5,5,5,5,5,2,2,33,35,33,29,16,15,10,11,18,30,21,26,25,4
Мужчина,49,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),15-20 лет,0-1 года,строительство,До 500 человек,монтажник,50,100 000 — 150 000,Да,5,4,3,2,4,2,4,4,2,1,5,4,4,3,1,1,3,5,7,6,4,4,2,3,2,2,3,4,3,2,2,2,2,1,3,2,2,4,1,4,4,4,4,3,3,3,4,4,5,4,5,4,5,4,6,4,3,4,4,4,2,4,3,4,2,4,3,4,3,2,4,4,24,23,27,20,9,8,7,12,17,31,25,15,16,8
Женщина,35,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,0-1 года,0-1 года,Торговля;,До 50 человек,продавец-кассир,5,15 000 — 30 000,Да,2,4,4,1,3,1,5,2,1,2,7,1,1,5,1,4,1,2,1,7,1,7,1,1,1,1,3,2,2,2,2,2,3,4,2,3,2,2,3,3,3,3,4,2,4,4,4,6,6,3,5,4,6,6,6,6,6,5,4,4,1,2,1,4,1,6,6,6,6,7,6,3,20,19,17,16,8,12,7,9,18,36,31,9,31,9
Женщина,54,Москва,Высшее,20 + лет,1-3 года,"Финансы, бухгалтерия, банки;",До 500 человек,главный бухгалтер,100,200 000 — 400 000,Да,4,5,1,4,6,3,6,7,1,3,7,4,4,4,2,1,5,5,5,6,4,2,1,3,1,6,6,4,2,2,2,3,1,4,2,2,2,3,2,3,4,3,3,5,4,4,4,3,2,6,7,2,3,1,6,5,5,6,5,6,2,4,2,6,3,6,4,5,3,2,6,6,29,30,28,23,9,9,7,10,20,24,33,17,20,12
Женщина,45,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,0-1 года,Торговля;,До 50 человек,менеджер,70,60 000 — 100 000,Да,7,5,5,6,3,4,3,3,2,3,5,4,1,6,1,4,6,3,5,3,5,4,3,3,3,5,3,3,2,2,2,2,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,6,6,5,7,5,4,3,3,4,5,4,3,4,5,5,5,3,5,3,4,4,3,4,4,33,24,27,24,8,16,11,12,19,35,22,22,19,8
Женщина,31,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,5-10 лет,Торговля;,До 50 человек,директор,100,30 000 — 60 000,Нет,5,5,4,4,6,4,7,3,4,4,5,1,6,5,1,3,3,4,4,4,6,3,4,4,3,4,4,5,3,4,4,3,4,3,5,2,5,3,5,5,4,4,5,3,4,3,4,5,6,6,5,2,2,6,6,5,6,5,4,5,4,4,5,6,2,5,5,6,5,4,3,3,35,28,25,27,14,14,13,13,19,32,31,21,25,6
Женщина,39,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),10-15 лет,3-5 лет,Образование;,До 50 человек,репетитор,10000,0 — 15 000,Нет,6,6,7,6,6,1,7,6,6,6,7,6,7,6,1,1,6,2,6,6,6,6,6,7,6,6,6,1,4,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,2,6,6,2,6,6,5,5,5,5,5,6,6,6,6,6,2,2,39,44,28,38,16,17,14,12,20,42,28,25,30,4
Женщина,35,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,5-10 лет,Образование;,До 500 человек,воспитатель,35,30 000 — 60 000,Да,5,6,4,5,5,4,4,5,4,5,6,5,4,5,4,4,3,3,6,5,5,4,3,5,3,4,2,2,3,2,3,2,3,4,4,4,3,1,4,5,5,4,4,4,4,4,4,5,6,6,4,6,6,6,5,4,6,7,6,6,4,6,5,6,3,6,6,6,5,6,2,3,33,34,30,23,10,15,8,14,20,39,34,24,29,5
Женщина,48,Город с численностью от 500 тысяч до 950 тысяч,Два и более высших и/или научная степень,20 + лет,1-3 года,государственная,До 500 человек,главный специалист,25,30 000 — 60 000,Нет,4,7,1,1,2,4,3,1,1,1,2,1,4,3,1,4,4,7,6,3,4,1,1,2,4,1,3,6,3,2,2,2,3,4,4,3,1,2,3,5,4,4,3,1,3,1,3,4,7,3,3,6,5,4,6,4,6,3,5,4,2,4,2,4,3,3,2,6,4,2,2,2,22,13,29,18,9,14,6,13,11,32,28,15,17,4
Мужчина,53,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),20 + лет,10-15 лет,"Финансы, бухгалтерия, банки;",До 500 человек,менеджер,50,30 000 — 60 000,Да,6,5,4,5,5,4,3,4,5,4,3,5,4,4,5,4,4,3,4,3,5,3,3,4,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,5,5,5,6,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,32,29,28,25,13,12,9,11,17,37,29,25,25,9
Женщина,39,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,10-15 лет,гос.служба,1000+ человек,консультант,60,30 000 — 60 000,Затрудняюсь ответить,7,6,4,5,2,4,2,2,2,2,7,2,2,1,2,2,2,6,7,5,6,3,4,6,3,1,5,2,4,4,4,4,4,3,4,4,3,2,3,4,3,3,4,2,5,4,4,6,6,3,3,5,5,5,6,5,7,6,4,6,2,4,3,4,1,5,4,4,3,4,6,5,30,18,30,24,16,15,8,10,19,33,34,14,20,11
Женщина,36,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,15-20 лет,Логистика;,До 50 человек,логист,80,100 000 — 150 000,Нет,4,5,4,5,5,5,3,5,5,5,3,5,4,6,5,5,4,3,5,4,4,4,5,4,5,5,4,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,4,4,31,33,30,32,16,16,10,12,20,33,30,25,27,8
Мужчина,44,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,0-1 года,Обслуживание;,До 50 человек,Служащий,100,15 000 — 30 000,Нет,5,4,4,3,2,3,3,4,2,4,6,4,3,2,1,2,2,3,6,4,4,1,1,1,1,2,1,1,1,2,2,2,4,4,3,4,3,3,4,4,4,4,3,3,3,3,3,5,6,3,6,5,6,5,6,3,5,5,4,6,1,2,1,3,1,4,5,4,2,6,4,3,24,25,22,8,7,15,10,12,15,36,29,8,21,7
Женщина,48,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,5-10 лет,"Маркетинг, реклама, PR;",До 500 человек,маркетолог,70,60 000 — 100 000,Да,6,6,4,5,3,4,4,5,4,5,6,5,2,4,4,4,4,5,5,5,6,4,2,4,4,4,2,3,4,3,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,3,5,5,5,6,5,6,4,3,5,3,5,5,5,4,3,3,5,3,5,5,5,5,5,5,5,32,31,33,23,14,15,10,12,18,36,26,18,25,10
